No FOGO;MEDIDA;FABRICANTE;MODELO;DOT;SULCO;SIST.REF;TIPO;VIDA;ANOMALIA;ANOMALIA;ANOMALIA
16647;295/80R22.5;Pir;Fg85;13;10,0;1;L;2;40;;
16341;295/80R22.5;Pir;Fg85;13;11,0;1;L;1;40;;
19860;295/80R22.5;Pir;Fg01;15;7,0;;L;NV;5;;
101359;295/80R22.5;Mic;X Multi;16;R;;L;NV;34;;
17704;295/80R22.5;Mic;X Multi;14;9,0;1;T;2;8;;
17077;295/80R22.5;Pir;Fg01;14;12,0;1;L;2;34;Nivaldo;
47211;295/80R22.5;Bri;M729;13;3,0;1;L;2;40;;
17512;295/80R22.5;Pir;Fg01;14;10,0;1;L;1;2;;
51697;295/80R22.5;Bri;R227;13;6,0;1;L;1;32;34;
51709;295/80R22.5;Bri;R227;13;13,0;2;L;2;35;;
15044;295/80R22.5;Mic;Xze 2+;13;10,0;1;L;1;41;34;35
100922;295/80R22.5;Pir;Fh01;16;R;;L;NV;34;;
17802;295/80R22.5;Mic;Xze 2+;14;11,0;1;T;1;34;35;
Brid10172;295/80R22.5;Pir;Fg85;13;7,0;1;L;3;40;12;
18525;295/80R22.5;Pir;Fg01;15;10,0;1;L;1;12;;
14783;295/80R22.5;Pir;Fr85;13;6,0;1;L;1;2;;
18200;295/80R22.5;Pir;Fg01;14;10,0;1;L;2;34;;
KAT54012;295/80R22.5;Pir;Fgo1;15;11,0;1;L;3;38;;
14939;295/80R22.5;Mic;Xze2+;01;5,0;1;L;2;32;34;
15879;295/80R22.5;Bri;R227;13;8,0;1;L;2;32;34;
18482;295/80R22.5;Pir;Fgo1;15;3,0;1;T;2;26;;
16548;295/80R22.5;Mic;Xze2+;13;6,0;1;L;1;12;;
15960;295/80R22.5;Bri;M729;13;3,0;1;T;1;8;;
14546;295/80R22.5;Pir;Fg85;13;6,0;1;L;1;26;;
18157;295/80R22.5;Pir;Fgo1;14;10,0;1;L;1;34;35;
14969;295/80R22.5;Mic;Xze2;13;6,0;1;L;1;32;34;
18730;295/80R22.5;Pir;Fgo1;15;10,0;1;L;1;14;;
100350;295/80R22.5;Pir;Fgo1;16;4,0;1;T;1;3;;
12415;295/80R22.5;Mic;Xde2+;11;4,0;1;T;1;40;;
15404;295/80R22.5;Mic;Xze2+;13;9,0;2;L;2;32;34;
15591;295/80R22.5;Mic;Xze2+;13;10,0;2;L;1;32;34;
13894;295/80R22.5;Pir;Fr85;12;16,0;2;T;2;2;34;
16745;295/80R22.5;Pir;Fg85;13;8,0;1;T;1;34;;
15252;295/80R22.5;Pir;Fg85;?;9,0;1;L;1;12;3;
14998;295/80R22.5;Mic;Xde2+;13;9,0;1;L;2;34;;
18511;295/80R22.5;Pir;Fgo1;15;5,0;1;T;1;14;;
17517;295/80R22.5;Pir;Fgo1;14;R;1;M;1;34;;
10123;295/80R22.5;Pir;Fho1;16;R;;L;NV;8;;
100294;295/80R22.5;Pir;Fgo1;16;8,0;;M;NV;8;;
15110;295/80R22.5;Mic;Xde2+;13;8,0;1;L;1;40;;
58354;295/80R22.5;Pir;Fr85;14;8,0;2;M;1;38;;
17508;295/80R22.5;Pir;Fgo1;14;5,0;1;T;1;40;;
18331;295/80R22.5;Pir;Fgo1;14;14,0;1;T;1;3;;
100203;295/80R22.5;Pir;Fgo1;15;7,0;;M;NV;12;;
16618;295/80R22.5;Mic;Xde2+;15;5,0;1;M;1;34;35;
19587;295/80R22.5;Pir;Fgo1;15;4,0;1;M;1;12;;
15104;295/80R22.5;Mic;Xze2+;13;7,0;1;L;2;8;40;
16541;295/80R22.5;Mic;Xze2+;13;6,0;1;T;2;32;34;
100922;295/80R22.5;Pir;Fh01;13;R;1;L;1;34;;
16911;295/80R22.5;Pir;Fg85;13;2,0;;L;Nv;26;;
100927;295/80R22.5;Pir;Fg01;16;9,0;;L;Nv;38;;
16817;295/80R22.5;Pir;Fg85;13;1,0;1;L;1;31;;
18073;295/80R22.5;Pir;Fg01;14;1,0;1;L;1;31;;
15837;295/80R22.5;Mic;Xze2+;13;11,0;1;L;2;34;35;
14128;295/80R22.5;Pir;Fr85;12;7,0;1;L;1;12;34;
12984;295/80R22.5;Mic;Xze2+;11;2,0;1;L;1;20;;
10083;295/80R22.5;Mic;Xze2+;10;9,0;1;L;1;32;34;
17730;295/80R22.5;Mic;Xze2+;14;5,0;1;T;1;34;35;
40125;295/80R22.5;Mic;Xze2+;12;12,0;2;L;3;34;35;
19923;295/80R22.5;Pir;Tr01;15;9,0;1;L;1;12;;
16939;295/80R22.5;Pir;Fr85;13;8,0;1;L;1;34;;
13868;295/80R22.5;Pir;Fr85;12;6,0;1;L;2;2;34;
17163;295/80R22.5;Pir;Fg85;14;10,0;1;T;1;34;;
17184;295/80R22.5;Pir;Fg85;14;8,0;1;L;1;34;35;
100007;295/80R22.5;Pir;Fg01;16;11,0;1;T;1;6;;
16410;295/80R22.5;Bri;R227;13;2,0;1;L;1;12;;
17007;295/80R22.5;Pir;Fg85;13;11,0;2;L;1;32;34;
18206;295/80R22.5;Pir;Fr01;14;14,0;2;L;2;40;;
17228;295/80R22.5;Pir;Fg85;14;11,0;1;T ;1;34;35;
41742;295/80R22.5;Goo;G658;13;8,0;1;L;1;2;;
17252;295/80R22.5;Pir;Fg85;14;11,0;;M ;NV;34;;
17010;295/80R22.5;Pir;Fg85;13;5,0;1;T ;1;38;;
19719;295/80R22.5;Pir;Fg01;15;4,0;1;L;1;38;;
18207;295/80R22.5;Pir;Fg01;14;10,0;1;L;1;34;;
18697;295/80R22.5;Pir;Fr01;15;10,0;1;L;1;34;;
103143;295/80R22.5;Bri;R227;14;8,0;1;L;2;12;;
18108;295/80R22.5;Pir;Fr01;14;7,0;1;T ;1;40;;
17229;295/80R22.5;Pir;Fg85;14;7,0;1;L;1;14;;
16489;295/80R22.5;Pir;Fg85;13;9,0;1;L;1;34;;
10635;295/80R22.5;Pir;Fr85;10;1,0;1;L;1;32;34;12
17265;295/80R22.5;Pir;Fg85;14;7,0;;M ;NV;32;;
6941;275/80R22.5;O;UR279;10;1;;L;1;9;;
8115;275/80R22.5;O;FV;11;1;1;L;1;9;;
10068;295/80R22.5;Pir;Fh01;16;8;;L;NV;2;;
49772;295/80R22.5;Pir;Fr01;13;11;2; M;2;40;;
18216;295/80R22.5;Pir;Fr01;14;9;1;L;1;12;;
100827;295/80R22.5;Pir;Fh01;16;7;;L;NV;2;;
14253;295/80R22.5;Pir;Fg85;12;1;; M;NV;14;;
100672;295/80R22.5;Pir;Fr85;10;4;1;L;1;12;14;9
14841;295/80R22.5;Mic; Xze 2+;12;5;1;L;2;2;;
10896;295/80R22.5;Pir;Fr85;11;2;1;L;2;9;;
17403;295/80R22.5;Pir;Fr01;14;R;;L;NV;34;;
19684;295/80R22.5;Pir;Fg01;15;7;; M;NV;34;;
59543;295/80R22.5;Bri;R296;14;3;1;L;1;2;;
12420;295/80R22.5;Mic;Xze 2+;11;1;1;L;8;34;35;2
11756;295/80R22.5;Pir;Fr85;11;9;1;L;1;2;;
18488;295/80R22.5;Pir;Fr01;15;3;1; T;1;34;;
18341;295/80R22.5;Pir;Fg01;14;8;1; T;1;34;;
18083;295/80R22.5;Pir;Fg01;14;14;1; T;1;40;;
16393;295/80R22.5;Bri;R227;13;6;1;L;1;14;2;
17735;295/80R22.5;Mic;Xze 2+;14;8;2; M;1;2;;
15365;295/80R22.5;Pir;Fg85;41;13;8;L;1;34;;
18580;295/80R22.5;Pir;Fg01;10;15;6; L;NV;12;;
100652;295/80R22.5;Pir;Fh01;13;16;9;L;NV;18;;
101673;295/80R22.5;Mic;X Multi;24;16;6;L;NV;18;;
100662;295/80R22.5;Pir;Fh01;. 08;16;9;L;NV;18;;
16022;295/80R22.5;Pir;Fr85;11;13;8;L;1;12;;
102672;295/80R22.5;Con;Hsr3;47;16;10;L;NV;18;;
102711;295/80R22.5;Con;Htr1;44;16;9;L;NV;18;;
15809;295/80R22.5;Mic;Xde 2+;10;13;4;L;1;34;;
18227;295/80R22.5;Pir;Fg01;45;11;8;L;1;12;8;
18114;295/80R22.5;Pir;Fg01;45;14;12;L;1;8;35;
101245;295/80R22.5;Pir;Fh01;27;16;12;L;NV;5;;
101247;295/80R22.5;Pir;Fh01;27;16;9;L;NV;5;;
40529;295/80R22.5;Goo;G667;39;12;8;L;1;5;;
18296;295/80R22.5;Pir;Fg01;42;12;10; M;NV;5;;
18117;295/80R22.5;Pir;Fg01;34;14;3;T;1;8;;
18469;295/80R22.5;Pir;Fg01;. 05;15;6;L;1;40;;
15423;295/80R22.5;Mic;Xde 2+;. 09;13;4; T;3;34;;
100087;295/80R22.5;O;Driver II;. 08;16;10;L;1;34;;
18374;295/80R22.5;Pir;Fg01;13;16;9; T;2;34;;
18263;295/80R22.5;Pir;Tr01;31;14;12; T;1;40;;
15936;295/80R22.5;Bri;R227;13;13;8;L;2;34;;
100357;295/80R22.5;Pir;Fg01;12;16;8; M;NV;38;;
19947;295/80R22.5;Fir;Fs 400 II;15;9;1;L;1;34;;
18069;295/80R22.5;Pir;Fr85;14;12;1;L;1;34;;
101326;295/80R22.5;Mic;Xmz;16;11;1;L;1;5;;
17128;295/80R22.5;Pir;Fg01;14;4;1;L;2;34;8;
17990;295/80R22.5;Pir;Fr01;14;6;1;T;1;40;;
54107;295/80R22.5;Goo;G658;14;5;1;L;2;12;;
49648;295/80R22.5;Pir;Fr01;13;10;1;L;1;34;;
18842;295/80R22.5;Pir;Fg01;14;3;1;L;2;34;;
KXN39071;295/80R22.5;Pir;Fr85;13;2;1;L;1;34;;
EBM49505;295/80R22.5;Pir;Fg01;16;9;;L;NV;34;;
Dot 1314;295/80R22.5;Pir;Fr85;14;7;1;T;1;40;12;
10598;295/80R22.5;Pir;Fr85;10;2;2;L;1;9;;
16965;295/80R22.5;Pir;Fg85;13;13;1;L;1;34;;
18855;295/80R22.5;Pir;Fg01;15;9;1;L;1;12;;
100029;295/80R22.5;Pir;Fg01;16;9;1;L;1;8;;
KWU67282;295/80R22.5;Pir;Fg85;14;11;;M;NV;41;34;35
16685;295/80R22.5;Pir;Fg85;13;6;1;T;1;25;;
18595;295/80R22.5;Pir;Fg01;15;4;1;T;1;34;;
18110;295/80R22.5;Pir;Fg01;14;7;1;T;2;40;;
13189;295/80R22.5;Mic;Fr85;11;11;1;L;4;8;;
