No FOGO;MEDIDA;FABRICANTE;MODELO;DOT;SULCO;SIST.REF;TIPO;VIDA;ANOMALIA;ANOMALIA;ANOMALIA
16820;295/80R22.5;Pir;Fg85;13;8,0;1;L;2;2;35;
16825;295/80R22.5;Pir;Fg85;13;9,0;1;L;1;35;2;
16827;295/80R22.5;Pir;Fg85;13;4,0;1;T;1;34;;
16842;295/80R22.5;Pir;Fg85;13;7,0;1;L;2;14;;
16844;295/80R22.5;Pir;Fg85;13;10,0;1;T;1;5;;
16852;295/80R22.5;Pir;Fg85;13;5,0;1;L;1;34;;
16880;295/80R22.5;Pir;Fg85;13;7,0;1;L;1;12;;
16900;295/80R22.5;Pir;Fg85;13;7,0;;M;NV;34;;
16933;295/80R22.5;Pir;Fg85;13;4,0;1;L;1;12;2;
16946;295/80R22.5;Pir;Fg85;13;8,0;1;L;1;34;;
17016;295/80R22.5;Pir;Fg85;13;7,0;1;T;1;25;35;
17017;295/80R22.5;Pir;Fg85;13;11,0;1;T;1;25;;
17018;295/80R22.5;Pir;Fg85;13;1,0;1;M;1;31;;
17019;295/80R22.5;Pir;Fg85;13;12,0;1;L;1;41;35;25
17039;295/80R22.5;Pir;Fg85;13;5,0;1;L;1;34;2;
17040;295/80R22.5;Pir;Fg85;13;5,0;1;L;1;25;;
17061;295/80R22.5;Pir;Fg85;13;3,0;1;T;1;5;;
17062;295/80R22.5;Pir;Fg85;13;3,0;1;T;1;41;34;35
17087;295/80R22.5;Pir;Fg01;14;11,0;1;L;1;34;35;
17088;295/80R22.5;Mic;FG01;13;7,0;1;L;2;40;;
17110;295/80R22.5;Pir;Fg01;14;2,0;1;L;2;34;;
17284;295/80R22.5;Pir;Fg85;14;8,0;;M;NV;38;;
17304;295/80R22.5;Pir;F85;11;8,0;;L;NV;14;;
17362;295/80R22.5;Pir;Fg85;14;9,0;;L;NV;34;;
17431;295/80R22.5;Pir;Fr01;14;16,0;2;M;2;40;;
17462;295/80R22.5;Pir;Fg01;14;4,0;;M;NV;5;34;
17587;295/80R22.5;Mic;Xze;14;2,0;1;T;1;38;;
17595;295/80R22.5;Mic;Xze;14;9,0;1;L;2;34;;
17701;295/80R22.5;Mic;Xze;14;2,0;1;T;1;8;;
17881;295/80R22.5;Mic;Xze;14;3,0;1;L;1;2;;
17920;295/80R22.5;Mic;Xze;14;7,0;1;L;1;25;;
18048;295/80R22.5;Pir;Fg01;14;1,0;1;L;1;31;;
18064;295/80R22.5;Pir;Fg01;14;5,0;1;T;2;41;34;35
18072;295/80R22.5;Pir;Fg01;15;11,0;1;L;2;5;;
18251;295/80R22.5;Pir;Tr01;14;10,0;1;L;1;38;;
18363;295/80R22.5;Pir;Fg01;15;8,0;;M;NV;3;;
18426;295/80R22.5;Pir;Fg85;15;1,0;;M;NV;31;;
18585;295/80R22.5;Pir;Fg01;15;6,0;;M;NV;14;;
18663;295/80R22.5;Pir;Fr01;15;2,0;1;L;1;8;;
18691;295/80R22.5;Pir;Fh01;15;10,0;1;L;1;12;;
18764;295/80R22.5;Pir;Fh01;15;6,0;1;L;1;8;;
18811;295/80R22.5;Pir;Fg01;15;9,0;;M;NV;34;;
28708;295/80R22.5;Mic;Xze 2+;10;9,0;1;L;1;34;;
34172;295/80R22.5;Bri;M729;11;6,0;1;L;1;32;;
40091;295/80R22.5;Goo;G658;13;10,0;2;M;1;8;;
